,ID,Age,Age_bins,Education,Marital_Status,Income,Income_groups,Childrens,Dt_Customer,Wines,Fruits,Meat,Fish,Sweet,Gold,Spending,Discount_Purchases,Web_Purchases,Catelog_Purchases,In-Store_Purchases,Accepted_3rd_Campaign,Accepted_4th_Campaign,Accepted_5th_Campaign,Accepted_1st_Campaign,Accepted_2nd_Campaign,Complain,Last_Campaign_Response,Average_Response_Rate
0,5524,57,Middle Aged,Bachelors,Single,58138.0,Average Income,0,2012-09-04,635,88,546,172,88,88,1617,3,8,10,4,0,0,0,0,0,0,1,0
1,2174,60,Middle Aged,Bachelors,Single,46344.0,Average Income,2,2014-03-08,11,1,6,2,1,6,27,2,1,1,2,0,0,0,0,0,0,0,0
2,4141,49,Middle Aged,Bachelors,In Couple,71613.0,High Income,0,2013-08-21,426,49,127,111,21,42,776,1,8,2,10,0,0,0,0,0,0,0,0
3,6182,30,Young,Bachelors,In Couple,26646.0,Low Income,1,2014-02-10,11,4,20,10,3,5,53,2,2,0,4,0,0,0,0,0,0,0,0
4,5324,33,Middle Aged,Masters,In Couple,58293.0,Average Income,1,2014-01-19,173,43,118,46,27,15,422,5,5,3,6,0,0,0,0,0,0,0,0
5,7446,47,Middle Aged,Masters,In Couple,62513.0,High Income,1,2013-09-09,520,42,98,0,42,14,716,2,6,4,10,0,0,0,0,0,0,0,0
6,965,43,Middle Aged,Bachelors,Single,55635.0,Average Income,1,2012-11-13,235,65,164,50,49,27,590,4,7,3,7,0,0,0,0,0,0,0,0
7,6177,29,Young,Masters,In Couple,33454.0,Average Income,1,2013-05-08,76,10,56,3,1,23,169,2,4,0,4,0,0,0,0,0,0,0,0
8,4855,40,Middle Aged,Masters,In Couple,30351.0,Average Income,1,2013-06-06,14,0,24,3,3,2,46,1,3,0,2,0,0,0,0,0,0,1,0
9,5899,64,Senior,Masters,In Couple,5648.0,Low Income,2,2014-03-13,28,0,6,1,1,13,49,1,1,0,0,1,0,0,0,0,0,0,1
10,1994,31,Middle Aged,Bachelors,In Couple,52247.25135379061,Average Income,1,2013-11-15,5,5,6,0,2,1,19,1,1,0,2,0,0,0,0,0,0,0,0
11,387,38,Middle Aged,Undergraduate,In Couple,7500.0,Low Income,0,2012-11-13,6,16,11,11,1,16,61,1,2,0,3,0,0,0,0,0,0,0,0
12,2125,55,Middle Aged,Bachelors,Single,63033.0,High Income,0,2013-11-15,194,61,480,225,112,30,1102,1,3,4,8,0,0,0,0,0,0,0,0
13,8180,62,Senior,Masters,Single,59354.0,Average Income,2,2013-11-15,233,2,53,3,5,14,310,3,6,1,5,0,0,0,0,0,0,0,0
14,2569,27,Young,Bachelors,In Couple,17323.0,Low Income,0,2012-10-10,3,14,17,6,1,5,46,1,1,0,3,0,0,0,0,0,0,0,0
15,2114,68,Senior,Masters,Single,82800.0,High Income,0,2012-11-24,1006,22,115,59,68,45,1315,1,7,6,12,0,0,1,1,0,0,1,2
16,9736,34,Middle Aged,Bachelors,In Couple,41850.0,Average Income,2,2012-12-24,53,5,19,2,13,4,96,3,3,0,3,0,0,0,0,0,0,0,0
17,4939,68,Senior,Bachelors,In Couple,37760.0,Average Income,0,2012-08-31,84,5,38,150,12,28,317,2,4,1,6,0,0,0,0,0,0,0,0
18,6565,65,Senior,Masters,In Couple,76995.0,High Income,1,2013-03-28,1012,80,498,0,16,176,1782,2,11,4,9,0,0,0,1,0,0,0,1
19,2278,29,Young,Bachelors,Single,33812.0,Average Income,1,2012-11-03,4,17,19,30,24,39,133,2,2,1,3,0,0,0,0,0,0,0,0
20,9360,32,Middle Aged,Bachelors,In Couple,37040.0,Average Income,0,2012-08-08,86,2,73,69,38,48,316,1,4,2,5,0,0,0,0,0,0,0,0
21,5376,35,Middle Aged,Bachelors,In Couple,2447.0,Low Income,1,2013-01-06,1,1,1725,1,1,1,1730,15,0,28,0,0,0,0,0,0,0,0,0
22,1993,65,Senior,Masters,In Couple,58607.0,Average Income,1,2012-12-23,867,0,86,0,0,19,972,3,2,3,9,0,1,0,0,0,0,0,1
23,4047,60,Middle Aged,Masters,In Couple,65324.0,High Income,1,2014-01-11,384,0,102,21,32,5,544,3,6,2,9,0,0,0,0,0,0,0,0
24,1409,63,Senior,Bachelors,In Couple,40689.0,Average Income,1,2013-03-18,270,3,27,39,6,99,444,7,7,1,5,0,0,0,0,0,0,0,0
25,7892,45,Middle Aged,Bachelors,Single,18589.0,Low Income,0,2013-01-02,6,4,25,15,12,13,75,2,2,1,3,0,0,0,0,0,0,0,0
26,2404,38,Middle Aged,Bachelors,In Couple,53359.0,Average Income,2,2013-05-27,173,4,30,3,6,41,257,4,5,1,4,0,0,0,0,0,0,0,0
27,5255,28,Young,Bachelors,Single,52247.25135379061,Average Income,1,2013-02-20,5,1,3,3,263,362,637,0,27,0,0,0,0,0,0,0,0,0,0
28,9422,25,Young,Bachelors,In Couple,38360.0,Average Income,1,2013-05-31,36,2,42,20,21,10,131,2,2,1,4,0,0,0,0,0,0,0,0
29,1966,49,Middle Aged,Masters,In Couple,84618.0,High Income,0,2013-11-22,684,100,801,21,66,0,1672,1,6,9,10,0,0,1,0,0,0,0,1
30,6864,25,Young,Masters,Single,10979.0,Low Income,0,2014-05-22,8,4,10,2,2,4,30,2,3,0,3,0,0,0,0,0,0,0,0
31,3033,51,Middle Aged,Masters,In Couple,38620.0,Average Income,0,2013-05-11,112,17,44,34,22,89,318,1,2,5,3,0,0,0,0,0,0,0,0
32,5710,44,Middle Aged,Bachelors,In Couple,40548.0,Average Income,1,2012-10-10,110,0,5,2,0,3,120,2,2,1,4,0,1,0,0,0,0,0,1
33,7373,62,Senior,Masters,Single,46610.0,Average Income,2,2012-10-29,96,12,96,33,22,43,302,6,4,1,6,0,0,0,0,0,0,1,0
34,8755,68,Senior,Masters,In Couple,68657.0,High Income,0,2013-02-20,482,34,471,119,68,22,1196,1,3,5,9,0,0,0,0,0,0,0,0
35,10738,63,Senior,Masters,Single,49389.0,Average Income,2,2013-08-29,40,0,19,2,1,3,65,1,2,0,3,0,0,0,0,0,0,0,0
36,4339,44,Middle Aged,Masters,In Couple,67353.0,High Income,1,2013-12-31,702,17,151,0,8,35,913,5,5,6,12,0,0,0,0,0,0,0,0
